date,symbol,open,close,volume,price_change,risk
2026-05-06,AAPL,281.915,287.51,58336072,5.595,HIGH
2026-05-05,AAPL,276.925,284.18,49311712,7.255,HIGH
2026-05-04,AAPL,279.655,276.83,46668401,-2.825,LOW
2026-05-01,AAPL,278.855,280.14,79915442,1.285,LOW
